"prefectureLabel","spotLabel","abstract"
"京都府","天橋立ビューランド","天橋立ビューランド（あまのはしだてビューランド）は、京都府宮津市にある天橋立を眺められる展望台のある遊園地である。"
"京都府","宇治橋 (宇治市)","宇治橋（うじばし）は、646年（大化2年）に初めて架けられたという伝承のある、京都府宇治市の宇治川に架かる橋である。"
"京都府","嵐山","嵐山（あらしやま）は京都府京都市の観光地。国の史跡および名勝に指定されている。 本来地名としては西京区（桂川の右岸）を指し、左岸は右京区嵯峨であるが、観光案内等では嵯峨地区を含めた渡月橋（とげつきょう）周辺全域を一まとめに嵐山と称することが多いため、ここでは渡月橋周辺全域としての嵐山を扱う。"
"京都府","平等院","平等院（びょうどういん）は、日本の近畿地方の、京都府宇治市宇治蓮華に所在する、藤原氏ゆかりの仏教寺院。山号は朝日山。開基は藤原頼通、開山は明尊。本尊は阿弥陀如来坐像。 宗派は17世紀以来天台宗と浄土宗を兼ね、現在は特定の宗派に属さない単立寺院となっていて、最勝院（本山修験宗聖護院末寺）と浄土院（浄土宗寺院）が年交代制で共同管理している。 （国宝）で世界に広く知られている。平安時代後期にあたる11世紀以来保持されてきた数々の建造物を中心とする寺宝と文化財は、往時の思想・文化を今に伝える。平等院と周辺地域は琵琶湖国定公園指定区域の一つである「宇治川沿岸地区」の中核をなす。1994年（平成6年）に登録されたユネスコ世界遺産「古都京都の文化財」の構成物件の一つでもある。"
"三重県","御座白浜海水浴場","御座白浜海水浴場（ござしらはまかいすいよくじょう）は、三重県志摩市志摩町御座にある海水浴場である。"
"佐賀県","御船山楽園","御船山楽園（みふねやまらくえん）は、佐賀県武雄市にある池泉回遊式庭園であり、ツツジと紅葉の名所である。所在地は武雄市武雄町大字武雄4100。 2010年（平成22年）2月22日に庭園全体が「旧武雄邑主鍋島氏別邸庭園（御船山楽園）」として国の登録記念物（名勝地関係）に登録された。"
"三重県","志摩スペイン村","志摩スペイン村（しまスペインむら）は、三重県志摩市磯部町坂崎にある複合リゾート施設。 近畿日本鉄道（近鉄）が、総合保養地域整備法（通称：リゾート法）の施行に合わせ1988年に策定された「三重サンベルトゾーン」構想に基づき、三重県志摩郡磯部町（現・志摩市）の協力を得て開発した施設で、テーマパーク「パルケエスパーニャ」を中核施設に、ホテル志摩スペイン村、天然温泉「ひまわりの湯」の3施設で構成されている。 開発当初は、リゾートマンションやコテージ等を多層的に展開するレジデンシャルゾーンの開発計画もあったが現在は凍結されている。"
"三重県","志摩地中海村","志摩地中海村（しまちちゅうかいむら、英語: Shima Mediterranean Village）は、三重県志摩市浜島町迫子にある、地中海沿岸地方のリゾート地を模した観光施設。1989年（平成元年）に別荘の所有者が資本金を出資し、株式会社志摩地中海村を設立し、会員制の別荘村として運営を始めたが、現在は一般ホテルとして営業をしている。株式会社マスヤグループ本社が主株主で、株式会社志摩地中海村は株式会社マスヤループ本社のグループ会社となっている。"
"三重県","志摩市浜島磯体験施設「海ほおずき」","志摩市浜島磯体験施設「海ほおずき」（しましはまじまいそたいけんしせつ「うみほおずき」）は三重県志摩市にある、同市が運営する観光施設。4つの施設から構成されている。"
"三重県","志摩芸術村","志摩芸術村（しまげいじゅつむら）は、三重県鳥羽市浦村町で計画されていた開発構想である。セゾングループの西洋環境開発子会社である志摩東京カウンティが主体となって事業が進められていたが、平成不況により事実上計画が放棄されている。"
"三重県","日向島（イルカ島）","日向島（ひなたじま）は、三重県鳥羽市の鳥羽湾にある無人島。通称イルカ島として知られている。"
"三重県","日向島","日向島（ひなたじま）は、三重県鳥羽市の鳥羽湾にある無人島。通称イルカ島として知られている。"
"佐賀県","旧高取家住宅","旧高取家住宅（きゅうたかとりけじゅうたく）は、佐賀県唐津市にある伝統的建築物。"
"三重県","松阪農業公園ベルファーム","松阪農業公園ベルファーム（まつさかのうぎょうこうえんベルファーム）は、三重県松阪市にある農業公園。通称はベルファーム。 2004年（平成16年）からは「松阪牛の中の松阪牛」を決める松阪肉牛共進会が開催されている。"
"京都府","清水寺","清水寺（きよみずでら）は、京都府京都市東山区清水にある寺院。山号は音羽山。もとは法相宗に属したが、現在は独立して北法相宗大本山を名乗る。西国三十三所第16番札所。本尊は十一面千手観世音菩薩。 本尊真言：おん ばざら たらま きりく そわか　 ご詠歌：松風や音羽の滝の清水を　むすぶ心は涼しかるらん"
"京都府","渉成園","渉成園（しょうせいえん）は、京都府京都市下京区にある真宗大谷派の本山・真宗本廟（東本願寺）の飛地境内地。東本願寺の東方約150メートルに位置し、ほぼ200メートル四方の正方形をなす。面積3.4ヘクタール。西は間之町通、東は河原町通、北は上珠数屋町通、南は下珠数屋町通に接する。 名称は、中国六朝時代の詩人陶淵明の「園日渉而成趣」の詞にちなむ。また、周囲に枳殻（カラタチ）が植えてあったことから、「枳殻邸」（きこくてい）とも通称される。 昭和11年（1936年）12月、国の名勝に指定される。"
"京都府","無鄰菴","無鄰菴（むりんあん）は山縣有朋の別邸で七代目小川治兵衛の作庭。 「無鄰菴」と名付けられた山縣邸は三つある。最初の無鄰菴は山縣の郷里、長州・下関の草庵である。名前の由来はこの草菴に隣家がないことによる。あるいは『論語』「徳不孤必有鄰」""徳は孤ならず、必ず隣あり""にあるかもしれない。 第二の無鄰菴は、京都の木屋町二条に購入した別邸、そして第三の無鄰菴が京都・南禅寺参道前に造営した別邸で、「無鄰菴会議」の舞台ともなった場所である。本項では主にこの第三の無鄰菴について説明する。"
"三重県","熊野古道","熊野古道（くまのこどう）は、熊野三山（熊野本宮大社、熊野速玉大社、熊野那智大社）へと通じる参詣道の総称。熊野参詣道ともよばれる。紀伊半島に位置し、道は三重県、奈良県、和歌山県、大阪府に跨る。2004年に世界文化遺産に登録。"
"京都府","祇園","祇園（ぎおん）は京都市東山区にある、京都の代表的な繁華街及び歓楽街。"
"三重県","紀伊山地の霊場と参詣道","紀伊山地の霊場と参詣道（きいさんちのれいじょうとさんけいみち）は、和歌山県・奈良県・三重県にまたがる3つの霊場（吉野・大峰、熊野三山、高野山）と参詣道（熊野参詣道、大峯奥駈道、高野参詣道）を登録対象とする世界遺産（文化遺産）。2004年7月7日に登録され、2016年10月26日に登録範囲の「軽微な変更」がなされた。"
"京都府","綾部ふれあい牧場","綾部ふれあい牧場（あやべふれあいぼくじょう）とは、京都府綾部市位田町にある綾部市が設置・管理する牧場。1995年（平成7年）4月1日に、畜産振興及び農業への理解と後継者の育成の場とするとともに、地域の活性化を図ることを目的に開設した。"
"京都府","舞鶴港とれとれセンター","舞鶴港とれとれセンター（まいづるこうとれとれセンター）は、京都府舞鶴市にある舞鶴漁港で水揚げされた魚介類や、丹後地方の名産品を販売する観光施設。隣接する道の駅舞鶴港とれとれセンターでは、交通情報なども提供している。"
"京都府","舞鶴湾","舞鶴湾（まいづるわん）は、京都府舞鶴市の海岸の地形を形成する湾。若狭湾の南西部にあり、支湾となっている。湾奥には大きく二つに分かれ、舞鶴東港と舞鶴西港がある。英語表記はMaizuru Bay。"
"三重県","英虞湾","英虞湾（あごわん）は、三重県志摩市の志摩半島南部の湾。伊勢志摩国立公園の中心。リアス式海岸。御座岬（ござみさき）と浜島町を湾口とする。平成5年8月27日環境庁告示第67号（窒素又は燐が海洋植物プランクトンの著しい増殖の恐れのある海域として環境庁長官が定めた海域）による定義では、「三重県志摩郡大王町と同郡志摩町を結ぶ深谷大橋、同町御座岬と度会郡南勢町田曽埼を結ぶ線及び陸岸により囲まれた海域」となっている。"
"佐賀県","蕨野の棚田","蕨野の棚田（わらびののたなだ）は、佐賀県唐津市相知町平山上蕨野にある棚田。八幡岳（標高764m）の北側斜面に築かれており、面積は40ha。 1999年（平成11年）に農林水産省の日本の棚田百選に選定されている。また、周辺の山林を含めた景観が2008年（平成20年）に国の重要文化的景観に選定されている。このほか、2002年に読売新聞社記念事業「遊歩百選」に選定されている。"
"三重県","諸戸氏庭園","諸戸氏庭園（もろとしていえん）は三重県桑名市にある庭園。旧諸戸清六邸（西諸戸邸）。"
"三重県","長島水辺のやすらぎパーク","長島水辺のやすらぎパーク（ながしまみずべのやすらぎパーク）は三重県桑名市にある観光施設。"
"三重県","魚飛渓","魚飛渓（うおとびけい）は、三重県北牟婁郡紀北町相賀字木津にある景勝地である。"
"三重県","鳥羽水族館","鳥羽水族館（とばすいぞくかん、TOBA AQUARIUM）は、三重県鳥羽市に本拠地を置く、日本屈指の規模を誇る水族館である。 2019年（令和元年）11月時点の展示生物は約1,200種で、日本国内では最大である。 自然の環境を再現したゾーンが12あり、約1200種類の海や川の生きものが飼育・展示されている。通路は観覧順序を無くした自由通路となっており、通路全長は約1.5kmである。2013年（平成25年）の入場者数は947,753人である。入館者の8割を大人が占めるという特徴を有し、「質実剛健な水族館」と評される。 1955年（昭和30年）に開館した私営の水族館であり、2015年（平成27年）には累計入場者数が6000万人を超えた。三重県総合博物館とは密接な協力関係にある。"
"佐賀県","鹿島市浜中町八本木宿","鹿島市浜中町八本木宿（かしましはまなかまちはちほんぎしゅく）は、佐賀県鹿島市にある重要伝統的建造物群保存地区。鹿島市浜町の一部、約6.7haの範囲である。"
"佐賀県","鹿島市浜庄津町浜金屋町","鹿島市浜庄津町浜金屋町（かしましはましょうづまちはまかなやまち）は、佐賀県鹿島市にある重要伝統的建造物群保存地区。鹿島市浜町の一部、約2.0haの範囲である。"
"京都府","鹿苑寺","鹿苑寺（ろくおんじ）は、京都市北区にある臨済宗相国寺派の寺。建物の内外に金箔を貼った3層の楼閣建築である舎利殿は金閣（きんかく）、舎利殿を含めた寺院全体は金閣寺（きんかくじ）として知られる。相国寺の山外塔頭寺院である。 寺名は開基（創設者）である室町幕府3代将軍足利義満の法号・鹿苑院殿にちなむ。山号は北山（ほくざん）。寺紋は五七桐。義満の北山山荘をその死後に寺としたものである。舎利殿は室町時代前期の北山文化を代表する建築であったが、昭和25年（1950年）に放火により焼失し、昭和30年（1955年）に再建された。平成6年（1994年）にユネスコの世界遺産（文化遺産）「古都京都の文化財」の構成資産に登録されている。"
"兵庫県","あさご芸術の森","あさご芸術の森（あさごげいじゅつのもり、Asago Art Village）は兵庫県朝来市にある緑地公園。園内に彫刻庭園、美術館、温泉宿泊施設等が整備されている。"
"北海道","うらかわ優駿ビレッジAERU","うらかわ優駿ビレッジAERU（うらかわゆうしゅんビレッジアエル）は、北海道浦河郡浦河町にある総合保養施設で、「うらかわ優駿の里公園」内に立地する。第三セクター（浦河町など出資）のうらかわ優駿の里振興株式会社が運営にあたっている。"
"兵庫県","おじろん","おじろんは、兵庫県美方郡香美町小代区大谷にある温泉。近くにある中佐屋旅館の泉源とともに「小代温泉」とも呼ばれる。"
"北海道","おたるドリームビーチ","おたるドリームビーチは、日本の北海道小樽市銭函に所在するに設けられた海水浴場である。"
"兵庫県","おもちゃ王国","株式会社 おもちゃ王国（おもちゃおうこく）は、岡山県玉野市に本拠を置く日本の企業。同名のテーマパークグループ「おもちゃ王国」の設置・運営・フランチャイズ管理を主業務としている。「おもちゃ王国」は同社の登録商標（第4867891号ほか）。"
"北海道","さっぽろテレビ塔","さっぽろテレビ塔（さっぽろテレビとう）は北海道札幌市中央区大通西1丁目の大通公園内にある電波塔である。札幌市の中央にあり、総工費1億7000万円で1957年（昭和32年）に完成し、同年8月24日に開業・電波の発射を開始した。高さ147.2メートル。設計者は内藤多仲。"
"北海道","さっぽろ羊ヶ丘展望台","さっぽろ羊ヶ丘展望台（さっぽろひつじがおかてんぼうだい、略称: 「羊ヶ丘展望台」、英: ""Hitsujigaoka Observation Hill""）は、北海道札幌市豊平区羊ケ丘にある北海道内でも屈指の観光名所である。南東方向から札幌市街を展望でき、それを背景として腕を伸ばしたウィリアム・スミス・クラーク博士の全身像が展望台内に置かれている風景は有名である。"
"北海道","すすきの","すすきの（ススキノ、薄野、英: Susukino）は、札幌市中央区にある繁華街・歓楽街。日本国内外から観光客が訪れる観光地にもなっている。"
"北海道","のぼりべつクマ牧場","のぼりべつクマ牧場（のぼりべつくまぼくじょう）は、北海道登別市登別温泉町にあるクマの日本の動物園（テーマパーク、観光牧場）。とを併設する。"
"北海道","オホーツクとっかりセンター","オホーツクとっかりセンターは北海道紋別市海洋公園2番地にある日本で唯一の海獣専門保護施設。名前の「とっかり」は「アザラシ」を意味するアイヌ語「トゥカラ（tukar）」に由来する北海道方言。愛称はゴマちゃんランド。"
"兵庫県","キッザニア甲子園","2007年（平成19年）10月4日に日本国内2店舗目の開業計画が発表され、出店地が兵庫県西宮市甲子園に決定。2009年（平成21年）3月27日に開業した。* 営業日：不定休* 営業時間：1部 9:00 - 15:00（6時間）、2部 16:00 - 21:00（5時間） 完全入替制* 仕事体験：3歳 - 15歳（大人は連れて来た子供の同伴のみが可能で、仕事体験はできない。）* 駐車料金：G駐車場の駐車料金が6時間無料となるほか、甲子園球場での野球開催日における特別駐車料金が免除となる。なお、特別駐車料金ゼロシステム認証機に駐車券を通してはならない。"
"北海道","キロロリゾート","キロロリゾート（英: Kiroro Resort）は、北海道余市郡赤井川村にあるリゾート。"
"北海道","サンセットビーチ銭函","サンセットビーチ銭函（サンセットビーチぜにばこ）/ 銭函サンセットビーチは、日本の北海道小樽市銭函に設けられた海水浴場である。 呼称については、小樽市や地図関連業者、観光業者などは「サンセットビーチ銭函」を用い、管理・運営者は「銭函サンセットビーチ」を用いている。"
"北海道","チキウ岬","チキウ岬（チキウみさき）は、北海道室蘭市の太平洋に面する岬。名前はアイヌ語の「ポロ・チケプ」（親である・断崖）に由来しており、それが転訛して一般的に地球岬（ちきゅうみさき）と呼ばれている。"
"北海道","トラピスト修道院","トラピスト修道院（トラピストしゅうどういん）は、カトリックの修道会の一つである厳律シトー会（トラピスト会）の修道院で、日本では主に北海道北斗市三ツ石（渡島当別）に所在する灯台の聖母トラピスト大修道院（とうだいのせいぼトラピストだいしゅうどういん）の通称となっている。(女人禁制)"
"北海道","トロッコ王国美深","トロッコ王国美深（トロッコおうこくびふか）は、北海道中川郡美深町にある観光施設、およびそれを運営しているNPO法人である。 日本一の赤字路線として1985年（昭和60年）に全線廃止された日本国有鉄道（国鉄）美幸線の廃線跡の一部、約5kmおよび敷地104,700m²を利用し、観光の活性化を目的としてエンジン付きトロッコを運行している。"
